current_path,filename,provenance_classification,confidence,evidence_for_classification,collection_script,proposed_action
data/results/ResNet50_CIFAR10_round_robin/campaign_cv_resnet_rr_c24.csv,campaign_cv_resnet_rr_c24.csv,SYNTHETIC_PROTOTYPE,HIGH,"Contains SIMULATED_DATA tags, generic vmXX node names, or fixed synthetic timestamp baseline (1715000000).",scripts/campaign_a_orchestrator.py,archive_to_synthetic_prototypes
data/results/ResNet50_CIFAR10_round_robin/campaign_cv_resnet_rr_c32.csv,campaign_cv_resnet_rr_c32.csv,SYNTHETIC_PROTOTYPE,HIGH,"Contains SIMULATED_DATA tags, generic vmXX node names, or fixed synthetic timestamp baseline (1715000000).",scripts/campaign_a_orchestrator.py,archive_to_synthetic_prototypes
data/results/ResNet50_CIFAR10_round_robin/campaign_cv_resnet_rr_c48.csv,campaign_cv_resnet_rr_c48.csv,SYNTHETIC_PROTOTYPE,HIGH,"Contains SIMULATED_DATA tags, generic vmXX node names, or fixed synthetic timestamp baseline (1715000000).",scripts/campaign_a_orchestrator.py,archive_to_synthetic_prototypes
data/results/ResNet50_CIFAR10_round_robin/campaign_cv_resnet_rr_c64.csv,campaign_cv_resnet_rr_c64.csv,SYNTHETIC_PROTOTYPE,HIGH,"Contains SIMULATED_DATA tags, generic vmXX node names, or fixed synthetic timestamp baseline (1715000000).",scripts/campaign_a_orchestrator.py,archive_to_synthetic_prototypes
data/results_curated_real/ResNet50_CIFAR10_campaign_a_smart/normalized_request_level/campaign_a_cv_c16.csv,campaign_a_cv_c16.csv,SYNTHETIC_PROTOTYPE,HIGH,"Contains SIMULATED_DATA tags, generic vmXX node names, or fixed synthetic timestamp baseline (1715000000).",archive/legacy_scripts/generate_telemetry_sim.py,archive_to_synthetic_prototypes
data/results_curated_real/ResNet50_CIFAR10_campaign_a_smart/normalized_request_level/campaign_a_cv_c24.csv,campaign_a_cv_c24.csv,SYNTHETIC_PROTOTYPE,HIGH,"Contains SIMULATED_DATA tags, generic vmXX node names, or fixed synthetic timestamp baseline (1715000000).",archive/legacy_scripts/generate_telemetry_sim.py,archive_to_synthetic_prototypes
data/results_curated_real/ResNet50_CIFAR10_campaign_a_smart/raw_request_level/campaign_a_cv_c16.csv,campaign_a_cv_c16.csv,SYNTHETIC_PROTOTYPE,HIGH,"Contains SIMULATED_DATA tags, generic vmXX node names, or fixed synthetic timestamp baseline (1715000000).",archive/legacy_scripts/generate_telemetry_sim.py,archive_to_synthetic_prototypes
data/results_curated_real/ResNet50_CIFAR10_campaign_a_smart/raw_request_level/campaign_a_cv_c24.csv,campaign_a_cv_c24.csv,SYNTHETIC_PROTOTYPE,HIGH,"Contains SIMULATED_DATA tags, generic vmXX node names, or fixed synthetic timestamp baseline (1715000000).",archive/legacy_scripts/generate_telemetry_sim.py,archive_to_synthetic_prototypes
data/results_curated_real/ResNet50_CIFAR10_round_robin/benchmark/benchmark_resnet_rr.json,benchmark_resnet_rr.json,SYNTHETIC_PROTOTYPE,HIGH,"Contains SIMULATED_DATA tags, generic vmXX node names, or fixed synthetic timestamp baseline (1715000000).",scripts/campaign_a_orchestrator.py,archive_to_synthetic_prototypes
data/results_curated_real/ResNet50_CIFAR10_round_robin/normalized_request_level/campaign_cv_resnet_rr_c16.csv,campaign_cv_resnet_rr_c16.csv,SYNTHETIC_PROTOTYPE,HIGH,"Contains SIMULATED_DATA tags, generic vmXX node names, or fixed synthetic timestamp baseline (1715000000).",scripts/campaign_a_orchestrator.py,archive_to_synthetic_prototypes
data/results_curated_real/ResNet50_CIFAR10_round_robin/normalized_request_level/campaign_cv_resnet_rr_c24.csv,campaign_cv_resnet_rr_c24.csv,SYNTHETIC_PROTOTYPE,HIGH,"Contains SIMULATED_DATA tags, generic vmXX node names, or fixed synthetic timestamp baseline (1715000000).",scripts/campaign_a_orchestrator.py,archive_to_synthetic_prototypes
data/results_curated_real/ResNet50_CIFAR10_round_robin/normalized_request_level/campaign_cv_resnet_rr_c32.csv,campaign_cv_resnet_rr_c32.csv,SYNTHETIC_PROTOTYPE,HIGH,"Contains SIMULATED_DATA tags, generic vmXX node names, or fixed synthetic timestamp baseline (1715000000).",scripts/campaign_a_orchestrator.py,archive_to_synthetic_prototypes
